Index;Season;Gameday;Date;HomeTeam;AwayTeam;HomeTeamGoals;AwayTeamGoals;Result;HomeTeamShots;AwayTeamShots;HomeTeamShotsOnTarget;AwayTeamShotsOnTarget;HomeTeamCorners;AwayTeamCorners;HomeTeamYellow;AwayTeamYellow;HomeTeamRed;AwayTeamRed
57;2024;7;19/10/2024;Hoffenheim;Bochum;3;1;H;12;13;7;4;4;2;1;1;0;0
58;2024;7;19/10/2024;Leverkusen;Ein Frankfurt;2;1;H;27;9;9;2;8;3;2;1;0;0
59;2024;7;19/10/2024;Mainz;RB Leipzig;0;2;A;16;11;2;5;5;3;1;3;0;0
60;2024;7;19/10/2024;M'gladbach;Heidenheim;3;2;H;20;19;10;6;6;3;3;3;0;0
61;2024;7;19/10/2024;Bayern Munich;Stuttgart;4;0;H;22;4;10;1;7;3;0;2;0;0
62;2024;7;20/10/2024;Holstein Kiel;Union Berlin;0;2;A;12;14;5;4;7;3;2;1;0;0
63;2024;7;20/10/2024;Wolfsburg;Werder Bremen;2;4;A;14;15;6;7;4;4;1;1;1;0
64;2024;8;25/10/2024;Mainz;M'gladbach;1;1;D;23;9;6;5;2;4;3;2;0;0
65;2024;8;26/10/2024;Augsburg;Dortmund;2;1;H;12;11;4;4;3;5;3;3;0;1
66;2024;8;26/10/2024;RB Leipzig;Freiburg;3;1;H;12;15;9;5;3;3;3;2;0;0
67;2024;8;26/10/2024;St Pauli;Wolfsburg;0;0;D;14;10;5;4;7;6;0;3;0;0
68;2024;8;26/10/2024;Stuttgart;Holstein Kiel;2;1;H;16;9;6;3;9;5;3;6;1;1
69;2024;8;26/10/2024;Werder Bremen;Leverkusen;2;2;D;13;15;8;6;3;5;1;1;0;0
70;2024;8;27/10/2024;Bochum;Bayern Munich;0;5;A;6;17;2;9;2;5;1;1;0;0
71;2024;8;27/10/2024;Union Berlin;Ein Frankfurt;1;1;D;13;17;4;5;4;5;5;3;0;1
72;2024;8;27/10/2024;Heidenheim;Hoffenheim;0;0;D;17;12;3;4;7;3;1;2;0;0
73;2024;9;01/11/2024;Leverkusen;Stuttgart;0;0;D;19;4;5;1;10;2;3;4;0;0
74;2024;9;02/11/2024;Bayern Munich;Union Berlin;3;0;H;16;8;7;1;7;4;0;2;0;0
75;2024;9;02/11/2024;Ein Frankfurt;Bochum;7;2;H;18;11;9;8;5;2;1;2;0;0
76;2024;9;02/11/2024;Hoffenheim;St Pauli;0;2;A;12;7;6;3;7;2;0;2;0;0
77;2024;9;02/11/2024;Holstein Kiel;Heidenheim;1;0;H;11;17;6;4;5;6;4;5;0;0
78;2024;9;02/11/2024;Wolfsburg;Augsburg;1;1;D;18;3;6;1;8;1;1;3;0;0
79;2024;9;02/11/2024;Dortmund;RB Leipzig;2;1;H;19;7;7;3;4;0;3;4;0;0
80;2024;9;03/11/2024;Freiburg;Mainz;0;0;D;10;9;2;2;8;4;1;2;0;0
81;2024;9;03/11/2024;M'gladbach;Werder Bremen;4;1;H;16;15;8;5;7;7;1;4;0;1
